date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:01	1233/1233	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%224100a4221edb12b19cc1a412fed52c7b%22	https://site198437.nicepage.io/robots.txt		(from )
15:55:01	3777/3777	---M-Z	200	added ('OK')	text/html	etag:W/%22bcccf5e689508e236339cd1236fcaaa3%22	https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0	C:/Meine%20Webseiten/hlregelwerke/site198437.nicepage.io/indexae0e.html	(from )
15:55:05	1345107/1345107	---MCZ	200	added ('OK')	text/css	etag:W/%2289bf2548d1dd7e2ba1082196ad3fd63b%22	http://capp.nicepage.com/78ed97b6f9844884a4814dd5f383bd67fc0eb163/nicepage.css	C:/Meine%20Webseiten/hlregelwerke/capp.nicepage.com/78ed97b6f9844884a4814dd5f383bd67fc0eb163/nicepage.css	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
15:55:05	4224/4224	---M-Z	200	added ('OK')	text/css	etag:W/%2245421ecd130253c1e2e3741a4e910d22%22	https://site198437.nicepage.io/Startseite.css	C:/Meine%20Webseiten/hlregelwerke/site198437.nicepage.io/Startseite.css	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
15:55:10	275057/275057	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%229b4dde4dafc931e0f933ef847fe4441c%22	http://capp.nicepage.com/78ed97b6f9844884a4814dd5f383bd67fc0eb163/nicepage.js	C:/Meine%20Webseiten/hlregelwerke/capp.nicepage.com/78ed97b6f9844884a4814dd5f383bd67fc0eb163/nicepage.js	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
15:55:10	768673/768673	---M-Z	200	added ('OK')	text/css	etag:W/%2254e32d10d5045f2b494a6efd63ed8807%22	https://site198437.nicepage.io/nicepage-site.css	C:/Meine%20Webseiten/hlregelwerke/site198437.nicepage.io/nicepage-site.css	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
15:55:11	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/Meine%20Webseiten/hlregelwerke/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
15:55:11	6670/6670	---M--	200	added ('OK')	image/png	etag:%222886de46dd01b54a5812a0e7396fa807%22	https://assets.nicepagecdn.com/307d2f2f/3648135/images/hudlogo.png	C:/Meine%20Webseiten/hlregelwerke/assets.nicepagecdn.com/307d2f2f/3648135/images/hudlogo.png	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
15:55:11	6573/6573	---M--	200	added ('OK')	image/png	etag:%226d8f26e17f2a0e1523b20657f884fdfd%22	https://assets.nicepagecdn.com/307d2f2f/3648135/images/Regelwerk.png	C:/Meine%20Webseiten/hlregelwerke/assets.nicepagecdn.com/307d2f2f/3648135/images/Regelwerk.png	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
15:55:11	7153/7153	---M--	200	added ('OK')	image/png	etag:%22771573eeea94903324f704665ab025f5%22	https://assets.nicepagecdn.com/307d2f2f/3648135/images/Fraktionsregelwerk.png	C:/Meine%20Webseiten/hlregelwerke/assets.nicepagecdn.com/307d2f2f/3648135/images/Fraktionsregelwerk.png	(from https://site198437.nicepage.io/?version=e2aabfae-ad40-40f7-9d14-ee0e68b7357b&uid=11f6c231-427a-405b-80e9-19f3a837b7d0)
